3.1.1,개인정보 수집∙이용,개인정보보호법,3,개인정보의 처리,1,"개인정보의 수집, 이용, 제공 등",16,개인정보의 수집제한
3.2.3,이용자 단말기 접근 보호,개인정보보호법,3,개인정보의 처리,3,가명정보의 처리에 관한 특례,28.6,가명정보 처리에 관한 과징금 부과 등
3.2.3,이용자 단말기 접근 보호,개인정보보호법,3,개인정보의 처리,3,가명정보의 처리에 관한 특례,28.7,적용범위
3.2.3,이용자 단말기 접근 보호,개인정보보호법,4,개인정보의 안전한 관리,,,29,안전조치의무
3.2.3,이용자 단말기 접근 보호,개인정보보호법,9,보칙,,,58.2,적용제외
3.2.3,이용자 단말기 접근 보호,개인정보의 기술적·관리적 보호조치 기준,,,,,9,출력·복사 시 보호조치
3.2.3,이용자 단말기 접근 보호,개인정보의 기술적·관리적 보호조치 기준,,,,,10,개인정보 표시 제한 보호조치
3.2.4,개인정보 목적 외 이용 및 제공,정보통신망법,4,정보통신서비스의 안전한 이용환경 조성,,,22.2,접근권한에 대한 동의
3.2.5,가명정보 처리,개인정보보호법,3,개인정보의 처리,1,"개인정보의 수집, 이용, 제공 등",18,개인정보의 목적 외 이용·제공 제한
3.3.1,개인정보 제3자 제공,개인정보보호법,3,개인정보의 처리,1,"개인정보의 수집, 이용, 제공 등",17,개인정보의 제공
3.3.1,개인정보 제3자 제공,개인정보보호법,3,개인정보의 처리,1,"개인정보의 수집, 이용, 제공 등",22,동의를 받는 방법
3.3.2,개인정보 처리 업무 위탁,개인정보보호법,3,개인정보의 처리,2,개인정보의 처리 제한,26,업무위탁에 따른 개인정보의 처리 제한
3.3.3,영업의 양도 등에 따른 개인정보 이전,개인정보보호법,3,개인정보의 처리,2,개인정보의 처리 제한,27,영업양도 등에 따른 개인정보의 이전 제한
3.3.4,개인정보 국외이전,개인정보보호법,3,개인정보의 처리,1,"개인정보의 수집, 이용, 제공 등",17,개인정보의 제공
3.3.4,개인정보 국외이전,개인정보보호법,3,개인정보의 처리,4,개인정보의 국외 이전,28.8,개인정보의 국외 이전
3.4.1,개인정보 파기,개인정보보호법,3,개인정보의 처리,1,"개인정보의 수집, 이용, 제공 등",21,개인정보의 파기
3.4.1,개인정보 파기,개인정보의 안전성 확보조치 기준,,,,,13,개인정보의 파기
3.4.2,처리목적 달성 후 보유 시 조치,개인정보보호법,3,개인정보의 처리,1,"개인정보의 수집, 이용, 제공 등",21,개인정보의 파기
3.5.1,개인정보 처리방침 공개,개인정보보호법,4,개인정보의 안전한 관리,,,30,개인정보 처리방침의 수립 및 공개
3.5.2,정보주체 권리보장,개인정보보호법,5,정보주체의 권리 보장,,,35,개인정보의 열람
3.5.2,정보주체 권리보장,개인정보보호법,5,정보주체의 권리 보장,,,36,개인정보의 정정·삭제
3.5.2,정보주체 권리보장,개인정보보호법,5,정보주체의 권리 보장,,,37,개인정보의 처리정지 등
3.5.2,정보주체 권리보장,개인정보보호법,5,정보주체의 권리 보장,,,38,권리행사의 방법 및 절차
3.5.2,정보주체 권리보장,정보통신망법,5,정보통신망에서의 이용자 보호 등,,,44,정보통신망에서의 권리보호
3.5.2,정보주체 권리보장,정보통신망법,5,정보통신망에서의 이용자 보호 등,,,44.2,정보의 삭제요청 등
3.5.2,정보주체 권리보장,정보통신망법,5,정보통신망에서의 이용자 보호 등,,,44.3,임의의 임시조치
3.5.3,정보주체에 대한 통지,개인정보보호법,3,개인정보의 처리,1,"개인정보의 수집, 이용, 제공 등",20.2,개인정보 이용·제공 내역의 통지
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
